label,text
2,apartheid mediatikoa izan oztoporik nagusienetarikoa
0,ara hezkuntza eta euskara ezin omen dira nahaztu baina hezkuntza eta ingelesa baina
2,aretan jende erronka konpromisu eta ilusio nagusi hautagaien solasaldian
2,aretoa txiki gelditu izan leioako campusean eta entzun
2,argi dago lehendakari bat debekatu beste irabaz ditugula nnbikain
0,argi esateko alde egiten du nabarmen kale entzundako zurrumurru faltsuei auspoa emanez
2,argi eta garbi diogu kalitatezko enplegu duina sortzea lehentasuna izan bildurentzat gainera badakigu nola egin
0,argi eta garbí horren bila doaz
2,argi eta garbinire aukera lehendakari
1,argi utzi nahi dut niretzat lehentasuna izan haztea eta enplegu sortzen laguntzea
1,argitaratu dut egin elkar presoak euskal herri dago
0,argituko diot oso erraz gure erkidegoan danberaz beste inposizio batn
1,izuragarria miribillan
1,zelan esango dut hori
1,arrosak eta eskuorriak banatu dituzte kideekn
0,askatasun eta berdintasun eremu bat euskal txirrindularitzan ez behintzat
0,askatasuna euskaraz ala erderaz aukeratzea ez izan askatasuna euskara hitz egitea lanpostu bat lortzeko ez
2,asko dago egiteko baina badakigu zein den bidea
0,asko gara euskaldun atera garenak probatuko balu bideo kenduko luke
1,aste honetan azken saioak egin ditugu garoan eta ere
2,asteazken honetan iraila leioannnez huts egin etorri euskal etxe plazara
2,astelehen hilak hasiko eduki ekimena zatoz hautagaiarekin solastera
2,atzo ordezkatu nuen telebista eztabaidan pozik eskerrik asko asko bidalitako mezu guztiengatik oso ondo goaz denon artean
2,atzo euskara defentsa irmo eta eraiki egin zuen
2,atzoko ekitaldi osoa ikusgai dago ikusi indarrak hartu eta kale gazte
1,atzoko tuita gaur eibarren arratsalde etan untzaga plazan eta
1,aukera askatasuna euskara ezagutza bermatu eta erabiltzeko aukera izatea izan
0,aupa ikastaro bereziak dituzu zure euskara maila hobea politakaria izatearren eko beherapenarekin
2,aupa madril gora euskadi askatuta
2,aupa zuek gora lautada gora eta
0,autogobernua lortzeko prozesuaren bideo ildoak markatuko duen premia sozialaren egiaztatze prozesuarenbarka galdu izan
0,autokritika rentzat besteek duten zeregina izan are gehiago eskuzabala izan eta zure berak ida
1,auzoko kide batzuk aspaldi dabiltzala aldaialderen alde lan barrutik eta era isilean
1,azken hiru minutu izango ditu hitzaldia osatu edo gainerako hautadaienari erantzun
2,azpeitia giroa bero bero mezu politika sakona jende konpromezua eta konplizitatea eta orain
1,azpeitia herri hau herri aurreratuenen parean jarri unea iritsi den
1,azpikerietan
0,begira kultura non urrun
2,dispertsioaren aurka gehien hitzegin duena izan izan
0,du meritua hor egonda
2,jarri gaitezen ados behintzat hori salatzen eta izan dezagun kontuan etorri urte
0,niri kanpoan galdetzen didatenean nongoan naizen euskalduna naizela erantzun dut
1,orduan joku hori maite dutenengandik kexati eta negarti guttiago eta ez izan zein begiratzen ari
0,rentzat ez bezala niretzat arazo izan atzerrian nire burua euskaldun gisa aurkezteko zailtasuna izatea armairu bat
1,euskal filologoa dela nago
0,bada horixe nahi dute nafarroako zonifikazioa ekarri
2,badago jada gobernu programa sarean
1,badakizu zenbat kobratzen duten dei kudeatzaileak
2,badator independentismoaren goraldia
2,baditugu arrazoi pertsonalak bozkatu miribillatik tximeleta bat pasatu omen izan aldaketa dakar gora ezpain gorrien iraultza
2,bagaudebagoaz gure aukera erabaki nahi edukilako
2,bagoaz miribillara
0,baina bere bilakaera berdina egiten ari danadbdz sorkuntzan izan arrenorain erkidegoena soilik ontzat ematen du
0,baina edo kapazak ez badira besteek beste hitzegiteko aurkezleak gutxi egin dezake hor
0,baina ezta zallan egon izan
1,baina berak iturria aipatu du beste bqtzuek ez bezala
0,baina hau eztabaida bat izan ala mitin bat lotsagarri
0,baina hau zer izan vaya semanitako bideo bat lotsagarri nazkagarria paleto koadrila
1,baina onartu beharko eduki aldaketa ere suposatu duela kasu honetan onerako guztion onerako zinez
0,baina zer izan hau
0,baita paneletakoak ere renak ukitu gabe
2,bake zatitxo bat existitzen izan ezker independentistak ekarri duelako
2,oso ondo zorte on
2,balmasedako hasiera eman diote hauteskunde kanpain
1,bartzelonako euskal etxe egoera politiko buruz egin den mahai inguruan eta batera
1,benetako gertaeretan oinarrituta
2,basagoitiren irainaren aurrean nire elkar arerio politiko
0,bat nator burujabetza ez badabe betikook kudeatzen behetik kudeatu behar ditu herri burujabetza
0,ez nago batere ados
2,batzuek galdetzen ea non dauden gazte erantzun gaur leioako ehuan kin
1,batzuek nahi eduki euskal herri solidarioa eta inklusiboa eraiki
1,batzuetan gehiengo osoa ere sinatuko nuke hauek hutsean geratzearen truke
2,beasainen eta bikain
0,begira psn eta hemen pscrik edo maragallik ez izan
1,beharrezkoa ez izatea alde baten karneta izatea bizitzan aurrera egiteko
1,bell baina nahiago baduzu bakar joatea ekidin eta bateriadun mobila eraman larrialdi kasurako
0,benetan beldur izan zer gerta lezakeen euskara akordio bat egongo balitznn
0,benetan jende aurrien berbetan azelgak egun jatie baina tristiaue haz
0,benetan lotsagabe rena orain elebidunak endogamikoak gara
0,bueno garbi geratu izan espainia dela
0,berandu batzuk sikiera gobernabide itun estrategikoaren ostean hasiko balira aldarrikatzenn
0,beraz administrazioan denak euskaldunak dira zer ondo hemendik aurrera mediku guztiekin euskara
0,beraz gaztelera jakin hautazkoa litzateke zuentzat eta mailako hizkuntzak ote ditugu
1,berdin bihotz
0,berdintasuna zer errez izan hitz egitea eta zer zaila praktikatzea ezta non dago soldaten berdintasuna noizko
0,bere helburua enplegu zela esan hasieran baina proposamen zehatzik bota ez
2,bergarako plazia bete ikusi eta entzunez gozatuegin irriegin herri
2,bermeo mitin hastera doa urdaibai zoriontzen hasi izan
1,berpizkundearekin sinesten badu baina ez du sinesten bakar hizketan ere arituko data
0,berriz ere gidariaren kanpaitxoaren laguntzaz soken artetik atera du
2,besarkada bat asier uribarri presoari bere ama hil zaio duela egun batzuk
1,beti bezala datu oker ugari gizarte politiko eztabaidan izan ezik noski
2,beti madril neurri injustuen menpe gaudehaien legeak eta rekurtsoak sufritzennguk erabaki errazago justizia sozia
2,bi herri helburu bakar bat
1,bidali zure galderak etan eta erantzun
1,bideo bildu herri galdeketarekin aurrera jarraitzeko prest agertu izan
1,bideo ez ei dago erabilgarri
1,bideo egin hauteskunde elkar osorik
1,bideo zein abesti aukeratu du euskal herri ereserki nazionalaz galdetuta
1,bideo ez dizuete lotsarik ematen
0,bigarren atala anastasia sendo eta gogo hitzegiten
2,bihar eta bergaran
2,bihar bergaran kalitatezko enplegu sozialak eta indepedentzia aldarrikatzera
2,bihar denok barakaldora
2,bihar donostia topaketa eduki hiru emakumeekin eta eta ere
1,bihar gomita gipuzkoa zerrendaburua etan
1,bihar unai asurmendik kirol programa aurkeztuko du kultur etxe etan aurkezlea zi
2,bikain berriz mitin plazerra eta ohorea bertsotan aritzea
1,biktimen gaian eta alfonso bata besteari begira geldirik isilik
1,bilbo etxe senideen salaketa
1,denok lehendakari
2,eskerrik asko asko
0,biolentziaren biktima guztien eskubideak defendatu ditu beti ezker abertzaleak ezin du gauza bera esan
1,bistan izan
0,bistan izan ez dela ez etxe eta hare gutxiago etik gertuago
0,blanca urgel ez izan nire alde toma morenoez izan zure alde izango baina zure gobernu egon zan
0,blokeatu dut
1,borreruak baditu milaka aurpegi
2,borroka txikiek mundua aldatu dezakete bozkatu txiki batek dena aldatu dezakelako bozkatu
2,borrokarik gabe ez dago garaipenik irrifarrea galdu gabe borrokatzera goaz
1,argazki on
0,bueno erran dizute bertze batzuek baina argi geldi bedi nafarrok ere batzuok bederen bagarela baskoaknn
0,oratoria gutxin
0,bukatu izan tostoia penosoa betiko karikatura lost egin combat onena batzutan kazetari
2,bukatzeko maddaleniriarte ordezkatzen dit
2,buzoneoa martxan gora atxabalta gora zuek
0,cdctik ere kritikak ez du balio diadara ikurriñarekin joan argazkia ateratzera eta gero prozesua ez babestea
2,chapeau hori baina denak ixil arazteko modua duintasunez nbesteen etxe arakatu aurretik ia norberak berea erakuzten duen
0,dixiteuskara ikastea kaltegarria izan eta txirotzen gaitu intelektualki
0,ciudadanoseko hautagairik ez jarri ditugu esperantza guztiak barreak botatzeko
0,agurainen egin nahi izan ez duena egin eduki herri honek aurrera egin dezan
2,barakaldon ezin izan herri hau eraiki gehiengo sindikalarekin kontatu gabe
1,bergaran erreferendum paktatu bat posible dela dioena gezurretan ari izan eta badaki
1,colombia txalotzen duten bitartean mendeku gartzela politikari eusten diote
1,izan gerran bide bazterrean erahildako lagun topatzea
1,izan guggenheim bezalako eraiki dotorean lan egin eta miseria bat irabaz
1,eduki defendatuko eduki
1,debagoieneko mitin nagusia gaur eta dena prest bergarako plazan ikusik
2,eztabaidaan faltan bota dut
0,eztabaidarik ez dagonhau izan s show
0,deia kezkaturik ergela dela diotelako eta ez belarritik behera odola isurarazi digutelako
2,dena prest eta entzun zatoz
2,denok bilbora
1,denok gara euskaldun eta denok gara nafarrak ez zaitut ulertzen eta ez nator bat zure ofizialismo honekin
2,denon herri eraiki goaz
0,dioen hau onartzen du ez izan hobea ahta egiten utziko duzue
1,dirua itzuliko duela esan du baina arazo politikarien pribilejioetan dago
2,diru sarrerak bermatuak izateko eskubidea
2,domekan ez geatu etxe domekan geuk dakau berbi domekan ez euki dudaik euskaldunok eta abertzaliok domekan bildu
2,domekan alde baliozko boto bakar bozkatu
2,eta gipuzkuko hautagaiak berdintasuna aldarrikatzen
2,durangoko gazte etorkizunari begira euskadi eraiki gazte lekurik badekogulako eta
2,gestazio subrogatuari buruzko eztabaida baten parte hartzeko prest
1,eta estu jarri dituzu zer bikaina
1,hauteskunde ekitaldien laburpena iraila goiz
1,hauteskunde ekitaldien laburpena iraila
2,aren eta ehbilduen arteko bategitea beharrezkoa izan abertzaleak izan daitezen
1,zer emango du domekan bermeo
1,bertso batekin zabaldu du kanpain amaieraren
1,zintzotasuna eskertzekoa inoiz baina argiago independentziaren inguruan hori bai zahartzaroan ez du aldarrikapenik balio
0,ederra lehenengo faxisten moduan euskara baztertzeko proposamen ondoren bere inbezil deitu primeran
1,ederto elkar aurkezlea baina hobea diskurtso bat hizpide
2,ederra izan izan klima aldaketa aipatu du kanpain hasieran areatzanbideoa min
0,hain zuzen ere siempre
2,egia esateko ez izan baizik eta jasotzen ez den kopuru hori izan aldiz handiagoa gizarte laguntzei ematen zaiona baina
1,egia esateko oraingoan bozkatu sekula baina ilusio gutxiagorekin noa
2,egin herri
2,egin barre
0,egoki ez bakar horregatik hauteskunde kolonial espainia boikota
0,eguerdi on akatsa izan behar izan baina zeuen programan ez dut presoensakabanaketaren gaiaren inguruko hitz bat ere aurkitu
0,egun on eta neuskaraz bizi nahi dut esne beltzan
1,egun on elkar dute ez galdu
1,egun euskal herri buenos días
0,egun euskal herriκαλημέρα
2,eguzki lagun barre batekin eskuz esku mezua zabalduz auzolana izan
2,aurrera
1,bertxiotu duela
2,bildu bozkatu beharko eduki hilaren alde dagoen bakar baita
2,bildu plazak bete jarraitzen du ilusio eta lan gogoak euskal errepublika eraiki goaz
2,bildu eta bere arteko ezberdintasun hau izan oinarria gora gu eta gutarrak
2,bildu ekitaldia azoka plazan bere facebook eta jarrai dezakezue
1,bildun argi eduki euskal estatu duina nahi eduki murrizketa eta etxe gabeko estatua
2,bilduren ekitaldia zallan hasi aurretik hizlariek argazki hau atera dute camera
2,egin herri mosaikoa ondarroa iraila
2,ehbilduneurri feministaknemakume gizonen arteko parekidetasunaren erronka politika publiko guztitan txertatzean
1,ehbilduren programaaniztasuna feminismoa etxe hezkuntzahizkuntzagazteriakliman
0,eztabaida disimulu gutxi babestean
2,hitzeman du enpresek gazteri beren lehen lan esperientzia praktikoa eskainiko dietela
1,apelazioa gure enpresak ez dira lehiakorrak
2,ekitaldia gaur eta oretaerrenterianetannezin duzu galdu
2,ekitaldia hastear jende plazan eta karpa txiki bergara ezkertiarindependentista tope
1,eko lehendakari elkar eduki
1,ekonomia abiapuntu nire lehentasuna izan haztea eta enplegu sortzen laguntzea nola milioiko enplegu plana
0,eleaniztasuna endogamia bada orduan elebakartasuna zer den euskara aurka behin eta berriz
1,elebakarren mespretxuen aurrean eta euskara buruz
0,elkar elkar bidea egiteko herri errespetua falta zaizue denon arte
2,elkar ekitaldi politiko ira otxartaga plazan
1,elkar gipuzkoa zerrendaburuari
2,urte on
2,emakume talde ere bozkatu dute
0,administrazioan euskara jakin behar ez izatea adibide eta azalpen lotsagarri justifikatu
1,egin du eskualdeko ekitaldi nagusia
2,giro ederra eguraldi ona lagun pila bat gaz
0,kritika jairlaritza gatazkaren teoria ontzat jotzeagatik eta eta zuritzeagatik
1,endesa eta iberdrola jende mosketak ez egiteko mehatxupean daude bartzelonan
0,ene sermoia etengabe ematen duen apaiza ematen du zer tostoia
1,ene ustez baina ildo politiko antagonistak diren heinean bat indartzeak bestea ahultzen du
1,enplegu gehiago eta hobea lortzea izan gure konpromisu gure tresna guztiak helburu horri zuzenduta
2,enplegu elkar lehen mezua telebista hauteskunde eztabaidan
1,entzun argi eta garbi entzun hire inguruan esaten diren gauza guztiak entzun
2,entzun itzelezko kanta
2,dioena baina ez du berretsi hau izan kolektiboaren ikuspuntua
2,esan eta argi dela uste dut danak etxe nahi eta baki nahi dotelako nik
0,erabat ados hau ez izan politika marketing hutsa baizik eta horrela norantza doaz ahaztu zaie nola egiten den politika
2,eraiki daigun etorkizuna euskaldun guztion lehendakari
2,eraiki ditzagun mugen gaindik zubiak eta zuti gaitezen ameslariak
2,eraiki aurrera lehendakari azken orduak
1,eraiki artean dirudienez legez kanpoko izaera hori galduta edukila baina zin osoz pentsatu nahi dut bildu
2,eraiki bidean aukeratuko edukin sekulako talde
2,erakutsi dut euskadi bizikidetza politiko eta bizikidetza sozialaren bermatu nahi ditudala
1,erantzun bat bada zer uste
0,erantzun ez noizko
2,erbesteratu diren gazte ehra bueltatzeko plan bat egin eduki gazte politika publikoen zentroan egon behar dira
1,gaztelera ari du eta txiza egiten digu gainera
1,eredu egoki izan trantsizio energetikoa lortzea energia eredua aldatzeko inbertsioak eskatu ditu
2,hurrengoak izan behar du ezberdinen arteko akordio legealdia
2,egin daitekeen apustu ekonomikorik handiena izan hazkunde iraunkorra
1,nahi duen argi berri hori finantzatuko duenik ez dago
0,errebelde izatea ezker abertzalea eernaisortu gara erasotzea dela uste dutenen oso fan
2,erreferendum paktatu bat egin daitekeela esaten duenak gezurra dio
1,errekak zarata egiten duenean
0,errelebo bikaina emandako talde lan bikaina garaia
0,errespetu apur bat gure hizkuntzari andereñoa
0,errespetu askoz aritu dira bakegintzaz minutu pare batez eta boto bila hasi diren artean lastima
2,errespetu guztiakin zoaz pikutara
2,erreza eta oso berritzailea egin zure kartel propioa zure argazkiekin animatu eta zabaldu ehbildun
0,erronka handiena bera izan izan euskara ez bultzatzeagatik baztertzeagatik eta gutxiesteagatik
0,ertzaintzaren zuritu behar duzu ntestuinguruak justifikatu du ngaldeketa sistemak deitu behar eduki orainn
0,esaidazu msdz gaztelera ez dakien administrazio publikoko langile baten izen anderea
0,esan du esan du
2,esango dute ehbildun justizia sozialak pisua galdu duela ahazten duteordea justizia sozialetik sortu ginela eta
0,esanguratsua eta gainerakoek buruz txiorik egin ez izana
0,eskaldun ona
0,eskerrak kikiltzen ez den emakume ahaldundu bat ordezkatzen gaitula gaur garaile dudabarik
2,eskerrik asko asko mila esker proiektu hau aurrera eramateagatik ondoan izango gaitazu
2,eskerrik asko asko laudion ingurumen politikaz eztabaidatzeko gonbitagatik
2,eskerrik asko asko eta maddaleni bidea irekitzeagatik emakume harro
2,eskerrik asko asko pablo beti gure lehendakari
2,eskerrik asko asko puertorako bidean ilusio eramatera maitasunez bete autobusa
2,eskerrik asko asko zuei gora
1,eskubide hau bermatzeko gehiengo bat dago eta madril begira egon gabe egin eduki aurrera
1,eskumako hautagaia balitz anekdota izango izan ez dut gustoko baina exajeratu iruditu zait
2,eskutik herri eta baten baten alde eskeintza
2,eskutik kentzen digute
2,espainia langabezia beherantz doala turismo eta zerbitzuari esker
0,espainia begira segitzen diagu
2,espektazio handia mitin donostia euskal irrian
2,estatuko hiriburutik nada ere nire bultzada herri
2,eta gipuzkoa egikideekin atzoko eibarko mitin
0,eta jaunak hemen duezue bilateralismo eta akordio ondorioetako bat
2,eta oso ondo euskara lekua defendatzen
1,eta geratu gaitezke etxe istituzioak herraminta baina helburu bihurtu dituzue
1,eta administrazioak paper pasiboa euskara zabalkundean
0,eta batez ere ez ei izan ohartzen espainia zapaldutako nazioena ez dela gobernu estatuauzia baizik
0,eta bertan familia bat kale gorrira bota duzue hauteskunde irabaz dituzue baina ez arrazoia
2,eta bihar askatasuna
2,eta bihar kirol programa aurkeztuko du unai asurmendik kultur etxe etan
0,eta bitartean begira
1,eta bukatzeko sentitzen dut baina ez dut abestirik aurkitu
0,eta ez du ordezakaririk edukiko euskaldunik ez
0,eta erdaldunak euskalduntzera erakarriko dozuz zeiñuberbeta erabiliz edo euzkeraz azalduz erdaldunei oker dagola
0,eta euskal herri noizko
0,eta ez duzue ezer ulertzen edo okerrago gure herri izaera ukatzen diguzue
2,eta gero egun jarraituko eduki lan behar edukilako merezi edukilako jende
0,eta orain arte zeroporretan
0,eta oso txarto
1,eta ere baina antza
1,eta botoak erakarri nahian
1,eta arteko solasaldia entzun gogo laster ikusgai
0,eta sozialista euskaldunek publikoki ez duzue ezer esatekolotsagarria
2,eta zer izan egin duena herri justuago bat eraiki
0,telebista arrastiko saioan eko batek eztabaidaetatik ezkutatzen zela zioenngizajoa bila egongo etxe puxkan
0,etorkizun hobea hori ez izan etorriko eskutik irudikatu zuzendaritzak iraganari begiratzen dio herri honek eto
2,etorkizuna zurekin eraiki nahi dut
0,etxe jolasten neurrira egin eztabaida
1,etxe hori han dago
1,eukene num bizkaia durangoko ekitaldian
1,euro egiturazko funtsak kolokan espainia menpe egoteak dakarrenaz ari garela
2,euskadi denok batera eraiki behar eduki
2,euskadi duela lau urte baina hobea dago
1,euskadi eraiki jarraitzeko botoa eskatu du amaitu izan hau
1,euskadi euro harro egoteko arrazoiak dauzka
2,euskadi garatzeko aukera hobea lehendakari
2,euskadi gero eta libreagoa gizarte gero eta justuagoa eraiki jarraitzeko botoa
1,euskadi kapazidadea du etorri aurre egiteko euskadi etengabe hazten ari izan
2,euskadi iraganera begiratzen du
2,euskadi dagoeneko bete ditu euro hezkuntzahelburuak
1,euskadi industrian oinarrituta egiten du gora hazkunde seguruagoa jakina espainia eredutik urrun
2,euskadiko etorkizuna bermatuko duen alde bakar gara gora
2,euskadi aldaketak egon dira eta paktu sozial berri bat nahi edukihala ere konpetentzia guztien transferentzia lortu behar eduki
2,euskadi lanpostu hobea eta gehiago sortzea izan gure konpromisu
1,euskal autogobernua sustatu eta defendatu du beti eta elkar gaituena bilatu behar edukila dio
0,euskal burgesiaren mezuak ez zaitzala engainatu
2,euskal estatu baten alde
2,euskal herri baina
1,euskal herri faxismo eta arrazakeriaren iraila igandeantannn
1,euskaldunentzat badaerdaraz bide batez ahtren inguruko erantzun hau egia izan
2,euskaldunok gure buruaren jabe egin ez dezagun begira madril ez eta beren amuei egin dezagun tinko gure bidea bildu
0,euskara izan gure hizkuntza faxista madarikatuak
0,euskara despolitizatzen ezta zuena baina raka raka euskaldunon aurka eskerrik asko asko hain garbi uzteagatik
0,euskara gehiago nahi dut
0,euskara gure altxorra izan eta babestu bear eduki emandako mezua banatzen gaitu gaur
0,euskara inguruko bideo polemikoaren audio hau ena baina errealagoa izan
0,euskara normalizazioa elkar ez ezik justizia sozialari eta erreparazio historikoari erabat loturik dago
0,euskara mintzatzeko duzun mailaren parekoa bazenu gaztelera ausartuko zinateke eztabaidara joatenneuskaltegira
0,euskara desagertzea besterik eztezue nahi baina jai dezue herri honetan soberan zaudete
0,euskara eskatzen ez bada euskaldunak gaztelera egitera beharko gaituzue betiezin funtzionario izan gaztelera barik
1,euskara ezin izan inposatu euskal herri bertakoa izan
0,eusko jairlaritza irakurtzen duelarik azken bideo arrazizta sare sozialetan
0,eusko jairlaritza zorra eta defizita goruntz joan izan gobernu esku urte errealitatea izan
2,eusko jairlaritza gestioa bihar han egongo gara familiarekin
1,eusko legebiltzarrerako hauteskunde azkue hautagaiari egin elkar laburpenanikusin
0,ez ahaztu etsitako balekumea
2,ez ahaztu zuek osatzen duzuela zuek izango zaretela herri duinago bat eraiki duzuenak gora
0,ez izan izango gizon bakar dela eta ez duela kapaz ikusten eta lagundu behar diola
1,ez izan kale dikotomia bat ildo politika sozialdemokrata eta iraultzailearen artean dago gakoa
0,ez izan politikari ona baina eskerrak ez den sukaldaria tortillari buelta emateko teknika horrekin
0,ez dakigu sozioekonomikoetan idazten baina euskara sustatuko edukin
0,ez dakit zergatik ematen diogun hainbeste buelta total hurrengo jairlaritza izango izan eta behar denean
1,ez daude bi euskadi desberdin euskal gizarte bakar dagon
1,ez eduki inor marjinatzeko asmorik ni marjinatua izateko asmoa baizik
1,ez ditut helburu guztiak ezagutzen ezta baldintzak ere
2,ez eduki inoren uztarripean bizi nahi esan ozen etxe kale lan lagun gazte
2,ez edukilako inoren uztarria jasan nahi independentzia nahi edukilako
1,ez errauskailua ez bere lagunentzako blindajeakez proiektu erabilezinetara
0,ez errealitaterik ez bizikidetzarako ahaleginik euskaltzaleak gogoan benetan alde gehienen iritzia
1,ez ez ez bilduko zabaletaupngure zerrendan herri abertzaleak bildugeroa baina
1,ez gaude konfrontazio berean zuek estatu demokratizatuezina kontra lagun zain
1,ez inposizioa izan
1,ez nago ados anderea esaten duenarekin proposamen administraziorako izan
1,ez izan ezezagunekin eztabaidatan sartzen
0,ez nekatu ez deutsu erantzun bere bidea espainia amaitzen dela esan beharko leukeelako
0,ez zuen bere helburua bete gainera rgia dakogu ez kezkatu euskadi ez izan inor atzean geratuko
2,ezin eduki itxaron espainia aldaketa hori eman arte dale
1,ezin dut ebitatu ​rengan pentsatzea app honen berri irakurtzen dudan bakoitzean
0,ezin duzu itxaron iruzur fiskalari batetik jasotzeko hainbat dirua dixit
1,ezin jakin zenbat zorroztu duenentz bere ideologia politiko dena den itziar zigak zioen moduan bere pantera usaia datsegit
1,ezin zuen bestela izan lehen hitzak euskal preso politikoei zuzenduak etxe nahi ditugu
1,ezinbestekoa izan iraganari buruzko hausnarketa argi eta kritikoa egitea
1,ezingo izan bilbora joanbaina hurbiletik jarraituko dut ekitaldianguztiak
0,eztabaida bat izan ez mitin bat moderatzailearen galderak erantzun behar dira
1,eztabaidan egongo balitz sorturen erantzun izango luke baina ez du eztabaidatu nahi
0,faxista
1,faxisteen erantzun hain bortitza bada zerbait ondo egiten ari garen seinale izan
1,faxisten erantzun hain bortitza bada zerbait ondo egiten ari garen seinale izan
2,feminismotik egin irrin donostiako unibertsitateann
2,jaia ardogileekin bat
0,flandriako energia ministroak errausketari dirulaguntzak kendu nahi eta gipuzkoa urte oparitun
1,focusen arabera litzateke irabaz eta parekatuta leudeke bi horiek hortik etorri galdera
1,fortunato ñaki perurena asiron edo uxue barkos euskal herri dira nafarrak dir
2,gainera bertako biztanle eta eskolarekin urte guzti hauetan harreman iraunkorra izan dute eta
0,gainera haien konstituzioa euskara ofiziala dela aitortzen duena izan ezta haien legeak bete dute ere
0,gainera hain zuzen ere euskalduna izateagatik izan hautagaiburua bestela
1,galdeketa ez izan inkesta bat barkatu
0,galdera eta kezka asko eduki eta baina erantzun edo proposamen konkreturik ez
1,galderaerantzunak preguntarespuestas
1,galderak zuentzatn
2,garai bateko eztabaidaak botatzen ditut faltan arzalluz egiguren karrera larreina bueno eta iturgaitz
2,garbi dago oraingoz txukunenak eta alde handia izan bestela oraingoz merkatu pertsiar bat dirudi
2,norabidea markatzen foru plaza herri aske duin eta burujabe bihurtu edukin
1,izan gara gehiago eta kalitatezkoa aukera gazte
1,foru enparantzako eta gero zer espero zenuten bada pilak kargatu dituzte tarrek
1,foru plazan
2,mitin hitzetan gogoratu izan ditu hona izan diren hautetsiak
2,eta eder egun
1,gaueko etan egibarren txanda izango izan
0,gaueko autogola berriro talde
2,gaur argi geratuko izan herri garela
2,gaur lehendakari bakar ikusi dut
1,gaur saio berezia azken bideo analisia erreportaia
2,gaur etan beste euskadi bat posible dela eta eskutik
2,gaur amsterdamen bizikletan igandean euskal herri bizikleta propioarekin aurrera egiteko ni
1,gaur asteartea elkar eko elkar eduki
1,gaur azpeitia gune teknologiko batean egon izan
2,gaur berdintasunari buruzko ekitaldia lehendakari durangon
0,gaur bitan deitu dut gurutzetako ospitalera eta harrerakoekin euskara ezinezkoa zer egin dezaket nah ez dira forenseak izan
