,label,text
89,2,azpeitia giroa bero bero mezu politika sakona jende konpromezua eta konplizitatea eta orain
90,1,azpeitia herri hau herri aurreratuenen parean jarri unea iritsi den
91,1,azpikerietan
92,0,begira kultura non urrun
93,2,dispertsioaren aurka gehien hitzegin duena izan izan
94,0,du meritua hor egonda
95,2,jarri gaitezen ados behintzat hori salatzen eta izan dezagun kontuan etorri urte
96,0,niri kanpoan galdetzen didatenean nongoan naizen euskalduna naizela erantzun dut
97,1,orduan joku hori maite dutenengandik kexati eta negarti guttiago eta ez izan zein begiratzen ari
98,0,rentzat ez bezala niretzat arazo izan atzerrian nire burua euskaldun gisa aurkezteko zailtasuna izatea armairu bat
99,1,euskal filologoa dela nago
100,0,bada horixe nahi dute nafarroako zonifikazioa ekarri
101,2,badago jada gobernu programa sarean
102,1,badakizu zenbat kobratzen duten dei kudeatzaileak
103,2,badator independentismoaren goraldia
104,2,baditugu arrazoi pertsonalak bozkatu miribillatik tximeleta bat pasatu omen izan aldaketa dakar gora ezpain gorrien iraultza
105,2,bagaudebagoaz gure aukera erabaki nahi edukilako
106,2,bagoaz miribillara
107,0,baina bere bilakaera berdina egiten ari danadbdz sorkuntzan izan arrenorain erkidegoena soilik ontzat ematen du
108,0,baina edo kapazak ez badira besteek beste hitzegiteko aurkezleak gutxi egin dezake hor
109,0,baina ezta zallan egon izan
111,1,baina berak iturria aipatu du beste bqtzuek ez bezala
112,0,baina hau eztabaida bat izan ala mitin bat lotsagarri
113,0,baina hau zer izan vaya semanitako bideo bat lotsagarri nazkagarria paleto koadrila
114,1,baina onartu beharko eduki aldaketa ere suposatu duela kasu honetan onerako guztion onerako zinez
115,0,baina zer izan hau
116,0,baita paneletakoak ere renak ukitu gabe
117,2,bake zatitxo bat existitzen izan ezker independentistak ekarri duelako
118,2,oso ondo zorte on
119,2,balmasedako hasiera eman diote hauteskunde kanpain
120,1,bartzelonako euskal etxe egoera politiko buruz egin den mahai inguruan eta  batera
121,1,benetako gertaeretan oinarrituta
122,2,basagoitiren irainaren aurrean nire elkar arerio politiko
123,0,bat nator burujabetza ez badabe betikook kudeatzen behetik kudeatu behar ditu herri burujabetza
125,0,ez nago batere ados
126,2,batzuek galdetzen ea non dauden gazte erantzun gaur leioako ehuan kin
127,1,batzuek nahi eduki euskal herri solidarioa eta inklusiboa eraiki
128,1,batzuetan gehiengo osoa ere sinatuko nuke hauek hutsean geratzearen truke
129,2,beasainen eta bikain
130,0,begira psn eta hemen pscrik edo maragallik ez izan
131,1,beharrezkoa ez izatea alde baten karneta izatea bizitzan aurrera egiteko
132,1,bell baino nahiago baduzu bakar joatea ekidin eta bateriadun mobila eraman larrialdi kasurako
133,0,benetan beldur izan zer gerta lezakeen euskara akordio bat egongo balitznn
134,0,benetan jende aurrien berbetan azelgak egun jatie baino tristiaue haz
135,0,benetan lotsagabe rena orain elebidunak endogamikoak gara
136,0,bueno garbi geratu izan espainia dala
137,0,berandu batzuk sikiera gobernabide itun estrategikoaren ostean hasiko balira aldarrikatzenn
138,0,beraz administrazioan denak euskaldunak dira zer ondo hemendik aurrera mediku guztiekin euskara
139,0,beraz gaztelera jakin hautazkoa litzateke zuentzat eta mailako hizkuntzak ote ditugu
140,1,berdin bihotz
141,0,berdintasuna zer errez izan hitz egitea eta zer zaila praktikatzea ezta non dago soldaten berdintasuna noizko
142,0,bere helburua enplegu zela esan hasieran baina proposamen zehatzik bota ez
143,2,bergarako plazia bete ikusi eta entzunez gozatuegin irriegin herri
144,2,bermeo mitin hastera doa urdaibai zoriontzen hasi izan
145,1,berpizkundearekin sinesten badu baina ez du sinesten bakar hizketan ere arituko data
146,0,berriz ere gidariaren kanpaitxoaren laguntzaz soken artetik atera du
147,2,besarkada bat asier uribarri presoari bere ama hil zaio duela egun batzuk
148,1,beti bezala datu oker ugari gizarte politiko eztabaidan izan ezik noski
149,2,beti madril neurri injustuen menpe gaudehaien legeak eta rekurtsoak sufritzennguk erabaki errazago justizia sozia
150,2,bi herri helburu bakar bat
151,1,bidali zure galderak etan eta erantzun
152,1,bideo bildu herri galdeketarekin aurrera jarraitzeko prest agertu izan
153,1,bideo ez ei dago erabilgarri
154,1,bideo egin hauteskunde elkar osorik
155,1,bideo zein abesti aukeratu du euskal herri ereserki nazionalaz galdetuta
156,1,bideo ez dizuete lotsarik ematen
157,0,bigarren atala anastasia sendo eta gogo hitzegiten
158,2,bihar eta bergaran
159,2,bihar bergaran kalitatezko enplegu sozialak eta indepedentzia aldarrikatzera
160,2,bihar denok barakaldora
161,2,bihar donostia topaketa eduki hiru emakumeekin eta eta ere ekin
162,1,bihar gomita gipuzkoa zerrendaburua etan
163,1,bihar unai asurmendik kirol programa aurkeztuko du kultur etxe etan aurkezlea zi
164,2,bikain berriz mitin plazerra eta ohorea bertsotan aritzea
165,1,biktimen gaian eta alfonso bata besteari begira geldirik isilik
166,1,bilbo etxe senideen salaketa 
167,1,denok lehendakari
168,2,eskerrik asko asko
169,0,biolentziaren biktima guztien eskubideak defendatu ditu beti ezker abertzaleak ezin du gauza bera esan
170,1,bistan izan
171,0,bistan izan ez dela ez etxe eta hare gutxiago etik gertuago
173,0,blanca urgel ez izan nire alde toma morenoez izan zure alde izango baina zure gobernu egon zan
174,0,blokeatu dut
175,1,borreruak baditu milaka aurpegi
177,2,borroka txikiek mundua aldatu dezakete bozkatu txiki batek dena aldatu dezakelako bozkatu
178,2,borrokarik gabe ez dago garaipenik irrifarrea galdu gabe borrokatzera goaz
179,1,argazki on
180,0,bueno erran dizute bertze batzuek baina argi geldi bedi nafarrok ere batzuok bederen bagarela baskoaknn
181,0, oratoria gutxin
182,0,bukatu izan tostoia penosoa betiko karikatura lost egin combat onena batzutan kazetari
183,2,bukatzeko maddaleniriarte ordezkatzen dit
185,2,buzoneoa martxan gora atxabalta gora zuek
186,0,cdctik ere kritikak ez du balio diadara ikurriñarekin joan argazkia ateratzera eta gero prozesua ez babestea
187,2,chapeau hori baina denak ixil arazteko modua duintasunez nbesteen etxe arakatu aurretik ia norberak berea erakuzten duen
188,0, dixiteuskara ikastea kaltegarria izan eta txirotzen gaitu intelektualki
189,0,ciudadanoseko hautagairik ez  jarri ditugu esperantza guztiak barreak botatzeko
190,0,agurainen egin nahi izan ez duena egin eduki herri honek aurrera egin dezan
191,2,barakaldon ezin izan herri hau eraiki gehiengo sindikalarekin kontatu gabe
192,1,bergaran erreferendum paktatu bat posible dela dioena gezurretan ari izan eta badaki
193,1,colombia txalotzen duten bitartean mendeku gartzela politikari eusten diote
194,1,izan gerran bide bazterrean erahildako lagun topatzea
195,1,izan guggenheim bezalako eraiki dotorean lan egin eta miseria bat irabaz
196,1,eduki defendatuko eduki
197,1,debagoieneko mitin nagusia gaur eta dena prest bergarako plazan ikusik
199,2,eztabaidaan faltan bota dut
200,0,eztabaidarik ez dagonhau izan s show
201,0,deia kezkaturik ergela dela diotelako eta ez belarritik behera odola isurarazi digutelako
202,2,dena prest eta entzun zatoz
203,2,denok bilbora ekin
204,1,denok gara euskaldun eta denok gara nafarrak ez zaitut ulertzen eta ez nator bat zure ofizialismo honekin
205,2,denon herri eraiki goaz
206,0,dioen hau onartzen du ez izan hobea ahta egiten utziko duzue
207,1,dirua itzuliko duela esan du baina arazo politikarien pribilejioetan dago
208,2,diru sarrerak bermatuak izateko eskubidea
209,2,domekan ez geatu etxe domekan geuk dakau berbi domekan ez euki dudaik euskaldunok eta abertzaliok domekan bildu
210,2,domekan alde baliozko boto bakar bozkatu
211,2,eta gipuzkuko hautagaiak berdintasuna aldarrikatzen
212,2,durangoko gazte etorkizunari begira euskadi eraiki  gazte lekurik badekogulako eta
213,2,gestazio subrogatuari buruzko eztabaida baten parte hartzeko prest
214,1,eta estu jarri dituzu zer bikaina
215,1,hauteskunde ekitaldien laburpena iraila goiz
216,1,hauteskunde ekitaldien laburpena iraila
217,2,aren eta ehbilduen arteko bategitea beharrezkoa izan abertzaleak izan daitezen
219,1,zer emango du domekan bermeo
220,1,  bertso batekin zabaldu du kanpain amaieraren
221,1,zintzotasuna eskertzekoa inoiz baino argiago independentziaren inguruan hori bai zahartzaroan ez du aldarrikapenik balio
222,0,ederra lehenengo faxisten moduan euskara baztertzeko proposamen ondoren bere  inbezil deitu primeran
223,1,ederto elkar aurkezlea baino hobea diskurtso bat hizpide
224,2,ederra izan izan klima aldaketa aipatu du kanpain hasieran areatzanbideoa min
225,0,hain zuzen ere siempre
226,2,egia esateko ez izan baizik eta jasotzen ez den kopuru hori izan aldiz handiagoa gizarte laguntzei ematen zaiona baino
227,1,egia esateko oraingoan bozkatu sekula baino ilusio gutxiagorekin noa
228,2,egin herri
229,2,egin barre
230,0,egoki ez bakar horregatik hauteskunde kolonial espainia boikota
231,0,eguerdi on akatsa izan behar izan baina zeuen programan ez dut presoensakabanaketaren gaiaren inguruko hitz bat ere aurkitu
233,0,egun on eta neuskaraz bizi nahi dut esne beltzan
234,1,egun on elkar dute ez galdu
235,1,egun euskal herri buenos días
236,0,egun euskal herriκαλημέρα
237,2,eguzkixa lagun barre batekin eskuz esku mezua zabalduz auzolana izan
238,2,aurrera
239,1,bertxiotu duela
240,2,bildu bozkatu beharko eduki hilaren alde dagoen bakar baita
241,2,bildu plazak bete jarraitzen du ilusio eta lan gogoak euskal errepublika eraiki goaz
242,2,bildu eta bere arteko ezberdintasun hau izan oinarria gora gu eta gutarrak
243,2,bildu ekitaldia azoka plazan bere facebook eta twitter jarrai dezakezue
244,1,bildun argi eduki euskal estatu duina nahi eduki murrizketa eta etxe gabeko estatua
245,2,bilduren ekitaldia zallan hasi aurretik hizlariek argazki hau atera dute camera
246,2,egin herri mosaikoa ondarroa iraila 
248,2,ehbilduneurri feministaknemakume gizonen arteko parekidetasunaren erronka politika publiko guztitan txertatzean
249,1,ehbilduren programaaniztasuna feminismoa etxe hezkuntzahizkuntzagazteriakliman
250,0,ko eztabaida disimulu gutxi babestean
251,2,hitzeman du enpresek gazteri beren lehen lan esperientzia praktikoa eskainiko dietela
252,1,apelazioa gure enpresak ez dira lehiakorrak
253,2,ekitaldia gaur eta oretaerrenterianetannezin duzu galdu
254,2,ekitaldia hastear jende plazan eta karpa txiki bergara ezkertiarindependentista tope
255,1,eko lehendakari elkar eduki
256,1,ekonomia abiapuntu nire lehentasuna izan haztea eta enplegu sortzen laguntzea nola milioiko enplegu plana
257,0,eleaniztasuna endogamia bada orduan elebakartasuna zer den euskara aurka behin eta berriz
258,1,elebakarren mespretxuen aurrean eta euskara buruz
259,0,elkar elkar bidea egiteko herri errespetua falta zaizue denon arte
261,2,elkar ekitaldi politiko ira otxartaga plazan
262,1,elkar gipuzkoa zerrendaburuari
263,2,urte on
264,2,emakume talde ere bozkatu dute
265,0,administrazioan euskara jakin behar ez izatea adibide eta azalpen lotsagarri justifikatu
266,1,egin du eskualdeko ekitaldi nagusia
268,2,giro ederra eguraldi ona lagun pila bat gaz
269,0,kritika jairlaritza gatazkaren teoria ontzat jotzeagatik eta eta zuritzeagatik
270,1,endesa eta iberdrola jende mosketak ez egiteko mehatxupean daude bartzelonan
271,0,ene sermoia etengabe ematen duen apaiza ematen du zer tostoia
272,1,ene ustez baina ildo politiko antagonistak diren heinean bat indartzeak bestea ahultzen du
273,1,enplegu gehiago eta hobea lortzea izan gure konpromisu gure tresna guztiak helburu horri zuzenduta
274,2,enplegu elkar lehen mezua etbko hauteskunde eztabaidan
275,1,entzun argi eta garbi entzun hire inguruan esaten diren gauza guztiak entzun
276,2,entzun itzelezko kanta
277,2,dioena baino ez du berretsi hau izan kolektiboaren ikuspuntua
278,2,esan eta argi dala uste dut danak etxe nahi  eta baki nahi dotelako nik
279,0,erabat ados hau ez izan politika marketing hutsa baizik eta horrela norantza doaz ahaztu zaie nola egiten den politika
280,2,eraiki daigun etorkizuna euskaldun guztion lehendakari
281,2,eraiki ditzagun mugen gaindik zubiak eta zuti gaitezen ameslariak
282,2,eraiki aurrera lehendakari azken orduak
283,1,eraiki artean dirudienez legez kanpoko izaera hori galduta edukila baino zin osoz pentsatu nahi dut bildu
284,2,eraiki bidean aukeratuko edukin sekulako talde
285,2,erakutsi dut euskadi bizikidetza politiko eta bizikidetza sozialaren bermatu nahi ditudala
286,1,erantzun bat bada zer uste
287,0,erantzun ez noizko
288,2,erbesteratu diren gazte ehra bueltatzeko plan bat egin eduki gazte politika publikoen zentroan egon behar dira
289,1,gaztelera ari du eta txiza egiten digu gainera
290,1,eredu egoki izan trantsizio energetikoa lortzea energia eredua aldatzeko inbertsioak eskatu ditu
291,2, hurrengoak izan behar du ezberdinen arteko akordio legealdia
292,2, egin daitekeen apustu ekonomikorik handiena izan hazkunde iraunkorra
293,1, nahi duen argi berri hori finantzatuko duenik ez dago
294,0,errebelde izatea ezker abertzalea eernaisortu gara erasotzea dela uste dutenen oso fan
295,2,erreferendum paktatu bat egin daitekeela esaten duenak gezurra dio
296,1,errekak zarata egiten duenean 
297,0,errelebo bikaina emandako talde lan bikaina  garaia
298,0,errespetu apur bat gure hizkuntzari andereñoa
299,0,errespetu askoz aritu dira bakegintzaz minutu pare batez eta boto bila hasi diren artean lastima
300,2,errespetu guztiakin zoaz pikutara
302,2,erreza eta oso berritzailea egin zure kartel propioa zure argazkiekin animatu eta zabaldu ehbildun
303,0,erronka handiena bera izan izan euskara ez bultzatzeagatik baztertzeagatik eta gutxiesteagatik
304,0,ertzaintzaren zuritu behar duzu ntestuinguruak justifikatu du ngaldeketa sistemak deitu behar eduki orainn
305,0,esaidazu msdz gaztelera ez dakien administrazio publikoko langile baten izen anderea
306,0,esan du esan du
307,2,esango dute ehbildun justizia sozialak pisua galdu duela ahazten duteordea justizia sozialetik sortu ginela eta
308,0,esanguratsua eta gainerakoek buruz txiorik egin ez izana
309,0,eskaldun ona
310,0,eskerrak kikiltzen ez den emakume ahaldundu bat ordezkatzen gaitula gaur garaile dudabarik
311,2,eskerrik asko asko mila esker proiektu hau aurrera eramateagatik ondoan izango gaitazu
313,2,eskerrik asko asko laudion ekin ingurumen politikaz eztabaidatzeko gonbitagatik
314,2,eskerrik asko asko eta maddaleni bidea irekitzeagatik emakume harro
315,2,eskerrik asko asko pablo beti gure lehendakari 
316,2,eskerrik asko asko puertorako bidean ilusio eramatera maitasunez bete autobusa
317,2,eskerrik asko asko zuei gora
318,1,eskubide hau bermatzeko gehiengo bat dago eta madril begira egon gabe egin eduki aurrera
319,1,eskumako hautagaia balitz anekdota izango izan ez dut gustoko baina exajeratu iruditu zait
320,2,eskutik herri eta baten baten alde eskeintza
321,2,eskutik kentzen digute
322,2,espainia langabezia beherantz doala turismo eta zerbitzuari esker
323,0,espainia begira segitzen diagu
324,2,espektazio handia mitin donostia euskal irrian
325,2,estatuko hiriburutik nada ere nire bultzada herri
327,2,eta gipuzkoa egikideekin atzoko eibarko mitin
328,0,eta jaunak hemen duezue bilateralismo eta akordio ondorioetako bat
329,2,eta oso ondo euskara lekua defendatzen
330,1,eta geratu gaitezke etxe istituzioak herraminta baino helburu bihurtu dituzue
331,1,eta administrazioak paper pasiboa euskara zabalkundean
332,0,eta batez ere ez ei izan ohartzen espainia zapaldutako nazioena ez dela gobernu estatuauzia baizik
333,0,eta bertan familia bat kale gorrira bota duzue hauteskunde irabaz dituzue baina ez arrazoia
334,2,eta bihar askatasuna
335,2,eta bihar kirol programa aurkeztuko du unai asurmendik kultur etxe etan
336,0,eta bitartean begira
337,1,eta bukatzeko sentitzen dut baina ez dut abestirik aurkitu
338,0,eta ez du ordezakaririk edukiko euskaldunik ez
339,0,eta erdaldunak euskalduntzera erakarriko dozuz zeiñuberbeta erabiliz edo euzkeraz azalduz erdaldunei oker dagola
340,0,eta euskal herri noizko
341,0,eta ez duzue ezer ulertzen edo okerrago gure herri izaera ukatzen diguzue
342,2,eta gero egun jarraituko eduki lan behar edukilako merezi edukilako jende
343,0,eta orain arte zeroporretan
344,0,eta oso txarto
345,1,eta ere baina antza
346,1,eta botoak erakarri nahian
347,1,eta arteko solasaldia entzun gogo laster ikusgai
348,0,eta sozialista euskaldunek publikoki ez duzue ezer esatekolotsagarria
349,2,eta zer izan egin duena herri justuago bat eraiki
350,0,etbko arrastiko saioan eko batek eztabaidaetatik ezkutatzen zela zioenngizajoa bila egongo etxe puxkan
351,0,etorkizun hobea hori ez izan etorriko eskutik irudikatu zuzendaritzak iraganari begiratzen dio herri honek eto
352,2,etorkizuna zurekin eraiki nahi dut
353,0,etxe jolasten neurrira egin eztabaida
354,1,etxe hori han dago
355,1,eukene num bizkaia durangoko ekitaldian
356,1,euro egiturazko funtsak kolokan espainia menpe egoteak dakarrenaz ari garela
357,2,euskadi denok batera eraiki behar eduki
358,2,euskadi duela lau urte baino hobea dago
359,1,euskadi eraiki jarraitzeko botoa eskatu du amaitu izan hau
360,1,euskadi euro harro egoteko arrazoiak dauzka
361,2,euskadi garatzeko aukera hobea lehendakari
362,2,euskadi gero eta libreagoa gizarte gero eta justuagoa eraiki jarraitzeko botoa
363,1,euskadi kapazidadea du etorri aurre egiteko euskadi etengabe hazten ari izan
364,2,euskadi iraganera begiratzen du
366,2,euskadi dagoeneko bete ditu euro hezkuntzahelburuak
367,1,euskadi industrian oinarrituta egiten du gora hazkunde seguruagoa jakina espainia eredutik urrun
368,2,euskadiko etorkizuna bermatuko duen alde bakar gara gora
369,2,euskadi aldaketak egon dira eta paktu sozial berri bat nahi edukihala ere konpetentzia guztien transferentzia lortu behar eduki
370,2,euskadi lanpostu hobea eta gehiago sortzea izan gure konpromisu
371,1,euskal autogobernua sustatu eta defendatu du beti eta elkar gaituena bilatu behar edukila dio
372,0,euskal burgesiaren mezuak ez zaitzala engainatu
373,2,euskal estatu baten alde
375,2,euskal herri baina
376,1,euskal herri faxismo eta arrazakeriaren iraila igandeantannn
377,1,euskaldunentzat badaerdaraz bide batez ahtren inguruko erantzun hau egia izan
378,2,euskaldunok gure buruaren jabe egin ez dezagun begira madril ez eta beren amuei egin dezagun tinko gure bidea bildu
379,0,euskara izan gure hizkuntza faxista madarikatuak
380,0,euskara despolitizatzen ezta zuena baina raka raka euskaldunon aurka eskerrik asko asko hain garbi uzteagatik
381,0,euskara gehiago nahi dut
382,0,euskara gure altxorra izan eta babestu bear eduki emandako mezua banatzen gaitu gaur
383,0,euskara inguruko bideo polemikoaren audio hau ena baino errealagoa izan
384,0,euskara normalizazioa elkar ez ezik justizia sozialari eta erreparazio historikoari erabat loturik dago
385,0,euskara mintzatzeko duzun mailaren parekoa bazenu gaztelera ausartuko zinateke eztabaidara joatenneuskaltegira
386,0,euskara desagertzea besterik eztezue nahi baina jai dezue herri honetan soberan zaudete
387,0,euskara eskatzen ez bada euskaldunak gaztelera egitera beharko gaituzue betiezin funtzionario izan gaztelera barik
388,1,euskara ezin izan inposatu euskal herri bertakoa izan
389,0,eusko jairlaritza irakurtzen duelarik azken bideo arrazizta sare sozialetan
390,0,eusko jairlaritza zorra eta defizita goruntz joan izan gobernu esku urte errealitatea izan
391,2,eusko jairlaritza gestioa bihar han egongo gara familiarekin
392,1,eusko legebiltzarrerako hauteskunde azkue hautagaiari egin elkar laburpenanikusin
393,0,ez ahaztu etsitako balekumea
394,2,ez ahaztu zuek osatzen duzuela zuek izango zaretela herri duinago bat eraiki duzuenak gora
395,0,ez izan izango gizon bakar dela eta ez duela kapaz ikusten eta lagundu behar diola
396,1,ez izan kale dikotomia bat ildo politika sozialdemokrata eta iraultzailearen artean dago gakoa
397,0,ez izan politikari ona baina eskerrak ez den sukaldaria tortillari buelta emateko teknika horrekin
398,0,ez dakigu sozioekonomikoetan idazten baina euskara sustatuko edukin
399,0,ez dakit zergatik ematen diogun hainbeste buelta total hurrengo jairlaritza izango izan eta behar denean
400,1,ez daude bi euskadi desberdin euskal gizarte bakar dagon
401,1,ez eduki inor marjinatzeko asmorik ni marjinatua izateko asmoa baizik
402,1,ez ditut helburu guztiak ezagutzen ezta baldintzak ere
403,2,ez eduki inoren uztarripean bizi nahi esan ozen etxe kale lan lagun gazte
404,2,ez edukilako inoren uztarria jasan nahi independentzia nahi edukilako
405,1,ez errauskailua ez bere lagunentzako blindajeakez proiektu erabilezinetara
406,0,ez errealitaterik ez bizikidetzarako ahaleginik euskaltzaleak gogoan benetan alde gehienen iritzia
407,1,ez ez ez bilduko zabaletaupngure zerrendan herri abertzaleak bildugeroa baina
408,1,ez gaude konfrontazio berean zuek estatu demokratizatuezina kontra lagun zain
409,1,ez inposizioa izan
410,1,ez nago ados anderea esaten duenarekin proposamen administraziorako izan
411,1,ez izan ezezagunekin eztabaidatan sartzen
412,0,ez nekatu ez deutsu erantzun bere bidea espainia amaitzen dala esan beharko leukeelako
413,0,ez zuen bere helburua bete gainera rgia dakogu ez kezkatu euskadi ez izan inor atzean geratuko
414,2,ezin eduki itxaron espainia aldaketa hori eman arte dale
415,1,ezin dut ebitatu ​rengan pentsatzea app honen berri irakurtzen dudan bakoitzean
416,0,ezin duzu itxaron iruzur fiskalari batetik jasotzeko hainbat dirua dixit
417,1,ezin jakin zenbat zorroztu duenentz bere ideologia politiko dena den itziar zigak zioen moduan bere pantera usaia datsegit
418,1,ezin zuen bestela izan lehen hitzak euskal preso politikoei zuzenduak etxe nahi ditugu
421,1,ezinbestekoa izan iraganari buruzko hausnarketa argi eta kritikoa egitea
422,1,ezingo izan bilbora joanbaina hurbiletik jarraituko dut ekitaldianguztiak
423,0,eztabaida bat izan ez mitin bat moderatzailearen galderak erantzun behar dira
424,1,eztabaidan egongo balitz sorturen erantzun izango luke baina ez du  eztabaidatu nahi
425,0,faxista
426,1,faxisteen erantzun hain bortitza bada zerbait ondo egiten ari garen seinale izan
427,1,faxisten erantzun hain bortitza bada zerbait ondo egiten ari garen seinale izan
429,2,feminismotik egin irrin donostiako unibertsitateann
430,2,jaia ardogileekin bat
431,0,flandriako energia ministroak errausketari dirulaguntzak kendu nahi eta gipuzkoa urte oparitun
